date,Quantity
2009-12-01,26434.0
2009-12-02,31938.0
2009-12-03,50898.0
2009-12-04,21405.0
2009-12-05,5119.0
2009-12-06,11623.0
2009-12-07,18557.0
2009-12-08,26172.0
2009-12-09,18403.0
2009-12-10,23718.0
2009-12-11,21394.0
2009-12-12,0.0
2009-12-13,12611.0
2009-12-14,45435.0
2009-12-15,27210.0
2009-12-16,25006.0
2009-12-17,15665.0
2009-12-18,17457.0
2009-12-19,0.0
2009-12-20,6263.0
2009-12-21,8838.0
2009-12-22,27101.0
2009-12-23,4614.0
2009-12-24,0.0
2009-12-25,0.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,11008.0
2010-01-05,11421.0
2010-01-06,7496.0
2010-01-07,40753.0
2010-01-08,12713.0
2010-01-09,0.0
2010-01-10,13429.0
2010-01-11,14900.0
2010-01-12,21533.0
2010-01-13,8899.0
2010-01-14,13895.0
2010-01-15,8686.0
2010-01-16,0.0
2010-01-17,10041.0
2010-01-18,10423.0
2010-01-19,15334.0
2010-01-20,10736.0
2010-01-21,72919.0
2010-01-22,18622.0
2010-01-23,0.0
2010-01-24,8903.0
2010-01-25,10059.0
2010-01-26,23672.0
2010-01-27,17955.0
2010-01-28,11641.0
2010-01-29,10270.0
2010-01-30,0.0
2010-01-31,10779.0
2010-02-01,9343.0
2010-02-02,11155.0
2010-02-03,10388.0
2010-02-04,12877.0
2010-02-05,10488.0
2010-02-06,0.0
2010-02-07,11210.0
2010-02-08,8631.0
2010-02-09,10929.0
2010-02-10,3783.0
2010-02-11,9197.0
2010-02-12,8150.0
2010-02-13,0.0
2010-02-14,10943.0
2010-02-15,96989.0
2010-02-16,16929.0
2010-02-17,25072.0
2010-02-18,24084.0
2010-02-19,12622.0
2010-02-20,0.0
2010-02-21,5602.0
2010-02-22,13665.0
2010-02-23,12448.0
2010-02-24,22978.0
2010-02-25,26343.0
2010-02-26,10426.0
2010-02-27,0.0
2010-02-28,8511.0
2010-03-01,22033.0
2010-03-02,12005.0
2010-03-03,20419.0
2010-03-04,18803.0
2010-03-05,18434.0
2010-03-06,0.0
2010-03-07,11031.0
2010-03-08,15828.0
2010-03-09,12854.0
2010-03-10,18164.0
2010-03-11,14882.0
2010-03-12,11539.0
2010-03-13,0.0
2010-03-14,4954.0
2010-03-15,15351.0
2010-03-16,12942.0
2010-03-17,78927.0
2010-03-18,23692.0
2010-03-19,13426.0
2010-03-20,0.0
2010-03-21,12471.0
2010-03-22,12919.0
2010-03-23,54482.0
2010-03-24,15372.0
2010-03-25,17353.0
2010-03-26,21000.0
2010-03-27,0.0
2010-03-28,14594.0
2010-03-29,25221.0
2010-03-30,19298.0
2010-03-31,13695.0
2010-04-01,17629.0
2010-04-02,0.0
2010-04-03,0.0
2010-04-04,0.0
